seq,rtt_ms
1,70.23906707763672
2,126.98245048522949
3,184.38720703125
4,237.51592636108398
5,291.5186882019043
6,345.02220153808594
7,484.68661308288574
8,581.7408561706543
9,639.2180919647217
10,694.1690444946289
11,788.9885902404785
12,845.6287384033203
13,899.1739749908447
14,957.8781127929688
15,1019.1688537597656
16,1077.6891708374023
17,1199.195384979248
18,1256.0055255889893
19,1310.7163906097412
20,1364.2187118530273
21,1417.7124500274658
22,1516.1809921264648
23,1573.2827186584473
24,1628.1640529632568
25,1708.9087963104248
26,1812.3583793640137
27,1916.6533946990967
28,1972.3944664001465
29,2026.108741760254
30,2080.432176589966
31,2135.3759765625
32,2191.5080547332764
33,2426.9933700561523
34,2484.030246734619
35,2539.08109664917
36,2632.8837871551514
37,2685.906410217285
38,2740.1092052459717
39,2793.658494949341
40,2846.8234539031982
41,2901.0841846466064
42,3045.33314704895
43,3104.097366333008
44,3159.132480621338
45,3214.5774364471436
46,3269.28973197937
47,3355.424404144287
48,3408.963918685913
49,3462.028741836548
50,3515.5208110809326
